categoria, Resultado de Aprendizaje

"Ecuación Interpretada","24"
"Ecuación Resuelta","22"
"Ecuación Planteada","22"
"Modelado Matemático","20"
"Documento Técnico","18"
"Análisis de un sistema","16"
"Diseño de un Sistema","15"
"Simulación","15"
"Artículo","12"
"Modelo de Optimización","11"
"Aplicación Web","11"
"Programa Inédito","9"
"Plan de Gestión","8"
"Diagrama de Arquitectura","8"
"OVA","7"
"Algoritmo Inédito","7"
"Documento de Arquitectura","7"
"Patrón de Diseño","7"
"Anteproyecto","7"
"Modelo lógico de Datos","6"
"Modelo de Arquitectura","6"
"Modelo Arquitectónico","6"
"Análisis de Riesgos","5"
"Metodología","5"
"Juego","5"
"Backend","5"
"Plan de Mejoramiento","4"
"Modelo Fisico de Datos","4"
"Estudio de Viabilidad","4"
"API","4"
"Diseño de Red","4"
"Planeación Estratégica","3"
"Aplicación Móvil","3"
"Aplicación Multiplataforma","3"
"CRM","3"
"Sistema de Gestión de Conocimiento","3"
"Red Implementada","3"
"Sistema Experto","2"
"Cronograma","2"
"Plan de Negocios","2"
"Implementación de una Norma","2"
"Plan de Calidad","2"
"Plan de Seguridad","2"
"Aplicación Stand Alone","2"
"Front","2"
"Propuesta de Investigación","2"
"Diseño Eléctrico","1"
"Estado Financiero","1"
"Red Neuronal","1"
"Dieño de Navegación","1"
"Metodologia para Implementar una Norma","1"
"Tesis","1"
