categoria, Objeto de Estudio

"Texto Escrito","33"
"Algoritmos","27"
"Funciones","23"
"Ecuaciones","23"
"Lógica","22"
"Teoremas","20"
"Ciencia","17"
"Contexto","16"
"Textos","15"
"Lenguajes de Programación","15"
"Aplicaciones Web","14"
"Nuevas Tecnologías","14"
"Bases de Datos","14"
"Lenguaje","13"
"Objetos y las clases","13"
"Las derivadas","13"
"Patrones de Diseño","13"
"Limites","12"
"Administración","12"
"Valores del Ingeniero","11"
"Métodos Numéricos","11"
"Sociedad","10"
"Arquitectura de Software","10"
"Productos de la Ciencia","9"
"Circuitos","9"
"Algebra Vectorial","9"
"Transmisión de Datos","8"
"Las Integrales","8"
"Redes Computacionales","6"
"Aplicaciones Móviles","6"
"Árboles","6"
"Teoría General de Sistemas","6"
"Series","5"
"Ingeniería de Software","5"
"Redes alámbricas","5"
"Bodegas de Datos","5"
"Las sucesiones","5"
"Ética","5"
"Espacios Vectoriales","5"
"Redes Neuronales","5"
"Redes Corporativas","4"
"Grafos","4"
"Aplicaciones Multiplataforma","4"
"Estructuras de Datos","4"
"Redes Inalámbricas","4"
"Ciudadanía","4"
"Sistemas Expertos","4"
"Contabilidad","3"
"La electricidad","3"
"Democracia","3"
"Mecánica","3"
"Máquinas de Estado","3"
"Sistemas Inteligentes","2"
"Redes de Alta Velocidad","2"
"Persistencia de Datos","1"
"Contexto Organizacional","1"
"Políticas de Aseguramiento de la Calidad","1"
